OID,FID_,X,Y,BCE_Firth_
368,368,1824732.460018602,5887378.493238594,0.519482147
369,369,1824748.607934248,5887378.991198273,1.079750013
370,370,1825131.507128074,5887367.839998062,0.433418189
371,371,1824792.833514047,5887371.472849257,0.080752165
372,372,1824844.114453209,5887366.46774263,0.06571698
373,373,1825147.241315382,5887352.657918385,0.455446542
374,374,1824950.320334951,5887378.08549802,0.26444038
375,375,1825162.586561178,5887307.358920768,0.43539215
376,376,1825161.300174704,5887287.241343628,0.208666667
377,377,1804258.010747349,5887770.249941733,1.832042517
378,378,1825223.54913524,5887225.725602808,0.302185187
379,379,1804259.669641916,5887746.437094186,1.640439744
380,380,1804193.661174229,5888019.627251927,1.385156279
381,381,1804244.358879122,5887666.497564109,1.293412091
382,382,1804293.338019644,5887544.987762108,1.433899982
383,383,1804299.980791093,5887505.529409167,1.486413116
384,384,1804338.642851433,5887449.139971157,1.889950043
385,385,1804327.25585318,5887432.240287032,1.407309719
386,386,1825432.756671204,5885982.728092548,0.186386546
387,387,1825499.903975341,5886519.169092407,0.928909826
388,388,1825676.904104719,5885956.898433963,0.474824993
389,389,1825738.306304048,5885935.476941022,0.61250866
390,390,1825799.76387956,5885921.607303966,0.830474185
391,391,1825827.449916337,5885912.961259338,0.137974995
392,392,1825874.526042967,5885881.77254461,-0.754449997
393,393,1826120.911469933,5885712.457274802,2.403766858
394,394,1826477.45251946,5885437.362203027,-0.946981809
395,395,1826125.720028843,5885538.407200915,1.095213631
396,396,1826157.297868792,5885415.514931366,-0.987388885
397,397,1826181.235604113,5885414.87194987,-0.967226424
398,398,1826443.611591204,5885404.122319007,-0.926528443
399,399,1826164.882922414,5885394.43163056,-0.435207536
400,400,1826324.486995342,5885390.870484774,-0.999000066
401,401,1805172.134249244,5885444.121670921,2.267212512
402,402,1805175.394725756,5885414.12113456,1.420962042
403,403,1805190.95239074,5885403.96958857,1.669309063
404,404,1805202.692126486,5885223.955596832,1.973049971
405,405,1805202.206219384,5885204.020038766,1.895375024
406,406,1805225.087671728,5885225.30054385,1.638550003
407,407,1805636.523871741,5884356.355669225,0.032781818
408,408,1825760.981923994,5884939.842655603,1.352666303
409,409,1806359.793226713,5882602.481145912,1.255410291
410,410,1806256.499949768,5882611.940796509,1.299645221
411,411,1806279.791436407,5882594.46955056,1.381670879
412,412,1806348.771147906,5882587.053391337,1.280142012
413,413,1806313.63456376,5882565.230325356,1.267857519
414,414,1806292.809362201,5882474.464310392,1.130025325
415,415,1806416.18675083,5882461.463700313,1.261748448
416,416,1806515.899661637,5882459.743417883,0.219115389
417,417,1806419.68532116,5882441.430158714,1.325175013
418,418,1806299.225526074,5882434.411609437,1.233240016
419,419,1806435.391857007,5882431.070850942,1.310924059
420,420,1805393.606703878,5882416.679237278,1.398248397
421,421,1805405.482618849,5882406.214176271,1.436999972
422,422,1805021.571258149,5882435.01386532,1.648393375
423,423,1806290.120233474,5882364.818087576,1.287374989
424,424,1805127.480069557,5882376.057986096,1.736894931
425,425,1805362.893178013,5882382.017455985,1.302988134
